Origin,Dest,Distance,Month,DayOfWeek,Hour,Weather_Rain,Weather_Wind,Visibility,Temperature,Delay_Status
LAS,IAH,2742,7,4,8,10.15,12.25,1.03,10.91,0
ORD,MSP,245,9,1,1,28.05,12.04,9.09,17.31,1
LAS,SEA,3070,5,3,6,60.78,3.91,2.96,-1.68,1
LAS,BOS,1554,4,5,6,42.63,43.56,4.83,3.3,1
DEN,SEA,1439,9,7,13,8.15,22.8,9.75,-3.3,1
ORD,MSP,1181,5,2,4,27.96,53.06,8.44,10.5,1
LAS,PHX,1159,9,6,7,18.2,15.13,1.97,19.52,1
ATL,DTW,1715,8,2,22,38.81,27.19,5.58,4.2,1
DFW,IAH,2036,4,3,21,63.25,38.34,7.57,32.3,1
LAX,SEA,3092,11,7,17,32.72,52.65,7.29,39.06,1
LAX,MIA,2696,11,2,5,32.5,31.48,7.85,-3.99,1
DEN,IAH,2783,7,6,13,67.9,22.41,5.12,-9.11,1
ORD,SFO,2758,5,5,17,43.21,52.02,2.58,29.49,1
ORD,MSP,1681,10,4,16,42.46,18.61,5.18,-0.47,1
LAS,DTW,3818,4,5,8,19.64,4.77,6.83,7.66,1
CLT,SEA,1759,5,2,12,45.58,26.7,6.48,9.71,1
JFK,IAH,2787,5,6,15,43.19,47.11,1.63,35.83,1
LAS,DTW,1707,11,4,20,29.76,1.85,1.58,22.94,1
DFW,SEA,2263,9,7,9,74.3,35.15,9.69,-7.97,1
ATL,IAH,3842,12,6,9,66.14,35.67,2.37,-9.26,1
LAX,MIA,2200,9,5,3,56.22,55.71,3.65,-0.02,1
LAS,SFO,2490,6,1,11,40.3,17.19,7.91,5.91,1
JFK,SFO,2173,4,1,7,34.65,16.73,4.69,14.23,1
JFK,PHX,3478,2,4,14,13.87,26.43,2.63,31.89,1
LAS,IAH,1111,3,4,20,22.93,21.41,5.21,5.74,1
DEN,SEA,1494,2,4,22,58.05,44.18,6.12,8.83,1
LAX,SFO,3008,5,1,18,34.03,38.51,5.07,6.47,1
DEN,MSP,2002,6,5,14,66.17,45.54,9.27,-9.55,1
ATL,SFO,2952,11,4,7,11.09,49.2,3.56,37.76,1
JFK,BOS,1953,5,1,7,38.13,55.38,6.95,-3.05,1
JFK,BOS,314,2,4,18,48.52,25.86,2.01,4.38,1
DFW,SFO,1803,12,4,8,38.76,59.08,4.53,-3.53,1
ATL,IAH,1522,5,6,23,66.69,12.94,7.67,14.53,1
JFK,PHX,2060,9,4,16,74.22,42.86,3.02,36.61,1
ATL,SFO,3754,4,1,7,8.69,32.04,6.31,-4.96,1
LAX,MIA,2644,12,5,11,9.75,49.01,2.38,12.04,1
ORD,DTW,2641,10,1,14,9.77,28.61,1.92,-8.88,1
JFK,SEA,1298,2,1,3,51.09,47.04,5.71,28.54,1
DFW,PHX,1177,3,4,5,27.95,55.81,7.08,22.06,1
LAX,MIA,1705,3,6,15,55.0,43.94,2.02,24.98,1
LAS,PHX,1326,9,3,4,30.41,46.57,9.26,13.62,1
ATL,MIA,496,4,7,22,47.07,4.03,3.03,35.38,1
LAS,SEA,3249,1,3,12,57.74,12.3,2.08,10.48,1
DEN,SEA,2425,1,3,14,41.12,58.46,2.82,15.7,1
LAX,BOS,3486,7,1,16,40.46,41.59,2.53,24.76,1
LAS,IAH,3214,7,4,21,6.62,33.69,1.82,16.03,1
CLT,MIA,2562,2,7,19,30.81,22.02,8.18,-0.53,1
CLT,DTW,1262,9,3,21,40.93,2.66,5.46,5.85,1
JFK,BOS,458,9,2,4,34.65,22.15,4.5,-5.39,1
ATL,MIA,3987,5,2,18,67.56,29.93,9.56,11.63,1
ORD,BOS,2254,3,2,6,67.99,12.69,4.34,20.47,1
LAX,SEA,2296,3,5,2,61.64,10.39,2.5,-4.07,1
JFK,PHX,3809,12,4,12,28.15,30.5,3.47,21.53,1
DFW,MSP,2408,3,1,13,53.8,35.15,3.15,34.64,1
DEN,BOS,2092,6,1,15,29.65,14.4,5.49,6.89,1
ATL,MIA,375,4,4,12,17.44,35.24,3.62,1.1,1
LAX,MIA,3862,8,6,1,25.72,54.02,5.64,34.65,1
CLT,MSP,3273,11,7,13,5.32,28.39,7.02,24.6,1
LAX,IAH,1200,11,6,19,24.88,51.44,8.0,-4.73,1
ORD,DTW,2118,11,5,6,34.56,55.64,7.39,10.41,1
CLT,SEA,2702,5,4,4,71.66,5.54,2.85,23.7,1
ORD,MIA,1867,1,6,13,23.51,5.75,2.04,18.72,1
DFW,SFO,475,9,7,8,67.68,28.56,5.88,20.93,1
DEN,PHX,2745,1,5,9,17.16,35.29,2.79,18.36,1
DFW,BOS,3900,6,3,6,14.32,25.55,1.76,29.9,1
JFK,IAH,875,1,3,13,38.92,19.59,5.74,6.02,1
JFK,DTW,2023,3,5,13,50.44,38.46,3.94,25.42,1
DFW,MSP,1251,10,4,1,3.32,0.12,7.81,39.55,0
DEN,PHX,1556,5,3,16,16.58,58.08,3.83,9.5,1
DFW,SEA,3272,10,4,19,34.18,13.92,9.81,29.55,1
DEN,IAH,3459,7,6,3,24.83,55.03,7.83,2.31,1
DEN,DTW,2303,10,3,12,53.45,6.54,1.52,4.09,1
LAS,BOS,746,8,7,17,38.34,14.29,5.58,36.74,1
CLT,BOS,1335,12,7,2,12.03,14.09,6.06,-8.7,1
ATL,MSP,3581,9,6,18,67.08,59.77,7.26,0.87,1
DEN,SFO,2283,6,7,4,21.97,0.28,5.48,14.15,1
ORD,MSP,2240,11,4,0,54.83,38.38,5.35,10.09,1
DEN,SEA,638,9,4,8,58.49,52.18,4.31,21.46,1
DEN,IAH,1952,8,7,23,72.24,40.34,3.44,-0.36,1
DEN,IAH,1815,9,2,7,37.39,21.76,9.52,-6.47,1
LAS,MIA,2049,10,5,2,46.19,57.5,3.86,8.47,1
CLT,SFO,2842,4,1,1,25.12,53.61,1.57,16.22,1
LAS,SFO,1800,9,5,0,50.86,26.04,2.51,18.1,1
JFK,IAH,3596,7,7,11,34.75,34.4,8.72,20.07,1
LAS,IAH,1863,5,4,21,32.82,58.05,6.28,17.43,1
ORD,PHX,506,5,4,12,64.16,58.95,8.01,2.29,1
ORD,DTW,3805,1,5,9,3.76,26.99,8.28,28.23,1
LAS,PHX,3999,2,4,16,66.15,50.84,8.41,-5.61,1
CLT,PHX,818,10,6,10,63.91,18.12,5.96,-0.08,1
DFW,SFO,1332,3,3,4,37.98,22.31,2.59,26.97,1
ATL,MIA,1595,8,4,8,36.77,9.89,2.33,3.99,1
CLT,BOS,2604,6,7,12,27.14,12.55,6.17,14.67,1
LAS,PHX,2428,12,7,19,74.56,39.41,4.3,6.36,1
DEN,MIA,1579,10,5,22,8.34,30.65,6.02,15.35,1
LAX,MSP,1899,11,5,10,44.27,13.87,5.49,7.33,1
ATL,SEA,2315,5,5,22,51.13,24.17,6.42,39.71,1
ATL,PHX,2539,1,7,3,70.07,22.39,1.29,7.87,1
ORD,MSP,2939,12,2,20,58.52,59.24,1.3,21.35,1
ATL,BOS,380,11,7,10,48.29,51.21,7.49,34.42,1
LAS,SEA,3737,12,6,8,8.76,23.28,2.74,21.9,1
DEN,SEA,2681,9,7,6,28.03,54.83,6.87,18.29,1
DEN,BOS,1687,3,6,15,10.41,20.56,5.92,18.46,1
JFK,PHX,3952,3,7,22,66.09,40.07,9.84,14.82,1
DEN,SFO,1113,2,7,22,56.22,58.0,8.52,30.38,1
CLT,BOS,1757,4,2,4,56.82,23.42,4.72,-7.48,1
DEN,BOS,2313,12,6,5,48.92,40.79,6.55,34.26,1
ORD,BOS,1244,2,2,18,38.03,17.76,2.06,19.31,1
DEN,SEA,1835,9,6,0,11.25,15.98,4.48,32.44,1
JFK,DTW,2631,12,2,15,24.73,34.45,7.6,-9.48,1
LAX,MIA,1838,10,2,17,10.27,58.76,6.6,33.46,1
LAS,MSP,1782,7,6,23,54.37,27.19,5.36,-3.99,1
ORD,SFO,2286,8,2,12,12.02,56.26,2.59,26.06,1
CLT,PHX,1508,3,7,0,52.66,54.86,8.23,10.83,1
LAX,PHX,1021,6,6,9,51.92,15.23,3.46,24.05,1
ORD,MSP,801,10,2,6,34.45,24.11,8.38,21.41,1
DFW,MIA,1820,6,7,4,10.14,38.6,6.5,-1.83,1
ATL,BOS,984,1,7,12,23.61,31.08,4.35,15.73,1
DFW,DTW,3607,6,5,21,24.01,5.76,1.37,3.86,1
DEN,SFO,1411,3,1,15,52.53,59.62,3.09,18.02,1
LAX,PHX,870,11,6,23,8.53,45.16,9.0,26.9,1
DEN,MSP,1466,3,2,19,62.18,26.26,8.36,-5.94,1
ATL,IAH,1296,3,5,21,57.08,37.09,6.17,15.79,1
ORD,DTW,2726,10,1,13,13.97,5.25,5.2,20.88,0
ATL,MSP,2197,11,2,10,53.94,29.72,6.82,4.77,1
JFK,DTW,2808,11,1,18,50.14,55.85,5.2,37.65,1
ATL,PHX,300,10,6,22,56.11,53.8,6.8,16.02,1
JFK,BOS,2761,11,7,1,14.17,20.24,3.77,-0.87,1
ATL,IAH,1979,8,7,7,11.82,31.88,8.55,-4.61,1
LAS,MIA,375,5,1,12,17.74,41.84,7.32,17.08,1
JFK,SFO,437,4,7,6,27.44,20.4,3.97,8.76,1
LAX,MIA,3157,9,3,11,59.52,3.89,8.48,-0.37,1
DEN,MIA,3330,9,4,7,55.34,30.33,5.39,-8.47,1
CLT,MSP,1322,1,7,15,69.41,36.1,2.57,18.33,1
DEN,DTW,3118,2,3,17,4.4,0.35,1.7,19.93,0
DFW,SFO,2177,8,6,18,0.87,5.73,7.3,-2.91,1
DEN,SFO,2742,5,6,3,52.44,12.44,8.79,20.09,1
ORD,PHX,3194,7,1,11,20.95,20.88,8.27,37.6,1
LAS,PHX,2203,1,7,15,25.06,32.46,6.9,38.91,1
ATL,SFO,1737,12,7,20,41.01,17.63,2.27,34.42,1
DFW,IAH,954,10,7,21,7.68,16.57,1.85,30.35,0
ORD,SEA,3568,12,5,16,48.2,52.16,4.11,0.47,1
ORD,PHX,2458,5,2,3,24.39,8.7,8.69,-2.18,1
JFK,SEA,1346,11,4,19,47.45,29.73,9.66,12.25,1
DEN,MSP,3500,12,7,23,62.55,57.17,3.17,20.98,1
LAX,IAH,3865,3,2,23,12.83,37.5,7.86,32.53,1
CLT,SFO,3927,10,5,21,69.82,43.03,6.16,1.6,1
LAX,IAH,1611,12,6,23,39.8,25.87,1.29,13.98,1
DFW,PHX,339,12,4,8,69.22,1.2,5.89,22.37,1
LAS,MIA,740,2,3,4,15.58,38.77,8.25,12.28,1
LAX,MSP,1614,2,6,16,45.34,37.92,3.49,12.71,1
ATL,SFO,469,9,6,16,30.29,6.63,9.08,1.26,1
LAX,BOS,1235,4,1,1,58.07,27.73,3.13,39.33,1
DFW,MSP,2090,4,5,1,45.44,54.92,1.69,13.76,1
CLT,DTW,3660,7,1,20,37.09,12.31,2.44,16.64,1
LAX,SEA,3608,10,1,22,68.47,27.67,8.53,0.93,1
ATL,IAH,705,10,2,6,28.28,27.67,4.76,15.71,1
JFK,SFO,1329,2,6,3,16.5,48.65,8.17,2.77,1
LAS,MSP,2279,3,5,12,45.61,49.47,5.78,0.12,1
DFW,IAH,3345,3,1,19,46.8,45.56,5.33,3.79,1
JFK,SFO,3442,6,3,10,32.93,21.93,8.26,-9.86,1
JFK,PHX,2072,3,4,2,36.5,4.32,4.81,18.51,1
JFK,MSP,1292,11,7,1,71.97,20.97,8.22,9.37,1
ORD,PHX,1012,5,5,15,54.95,40.79,1.91,34.93,1
LAS,MSP,561,4,2,2,8.3,42.16,6.73,-7.96,1
CLT,PHX,3920,3,5,23,15.91,57.9,7.32,-7.84,1
DEN,DTW,1656,8,6,14,73.17,27.22,9.09,34.29,1
LAS,IAH,1128,10,2,16,54.48,37.95,3.02,-3.67,1
ORD,BOS,299,3,4,15,68.63,32.35,6.44,-9.89,1
DEN,MSP,1881,6,3,19,22.79,9.04,4.9,-1.05,1
LAS,DTW,2256,7,1,6,55.64,27.67,4.44,31.19,1
JFK,MSP,3845,7,5,15,53.55,32.69,1.96,30.14,1
DFW,PHX,2944,2,2,4,22.1,57.04,2.21,7.01,1
DEN,SFO,1252,3,4,1,41.31,21.99,8.53,23.4,1
ATL,MSP,3385,12,1,0,47.06,58.81,7.75,15.36,1
ATL,DTW,2709,10,7,21,36.08,32.54,4.44,35.24,1
LAX,PHX,1120,10,4,12,62.04,14.55,8.46,-7.18,1
DEN,MIA,3414,4,3,15,62.47,11.5,1.73,30.66,1
DFW,PHX,2637,7,1,4,63.8,8.5,6.62,-1.47,1
CLT,IAH,831,2,1,2,60.26,27.18,8.81,9.58,1
ORD,BOS,881,3,7,14,36.61,1.32,8.55,-0.4,1
JFK,MIA,2404,7,1,15,28.61,26.7,4.36,25.13,1
LAX,IAH,2582,7,2,10,62.35,59.3,7.71,23.92,1
ATL,IAH,2507,10,1,18,36.77,40.21,4.85,17.39,1
ORD,IAH,2329,3,4,17,18.48,45.59,8.56,24.91,1
ORD,SFO,953,12,2,20,38.05,7.14,5.78,21.98,1
JFK,IAH,1664,1,1,8,10.64,28.39,7.88,28.82,1
CLT,SFO,3443,12,4,7,51.87,17.17,1.71,1.97,1
CLT,IAH,3502,3,4,21,25.19,53.65,6.31,11.45,1
DEN,SEA,919,5,5,18,19.55,10.88,5.95,-2.42,0
ATL,DTW,274,7,4,21,71.74,27.52,6.49,11.48,1
CLT,MIA,1493,4,7,4,58.27,35.28,7.26,25.08,1
DFW,SEA,2122,11,6,16,59.03,30.84,9.26,24.57,1
CLT,IAH,2873,11,3,4,46.78,49.81,8.07,25.47,1
ORD,MIA,261,1,1,13,62.94,13.89,2.98,5.44,1
JFK,MIA,1073,6,7,6,56.94,22.64,8.43,23.11,1
DFW,MSP,519,2,1,8,44.91,47.53,2.1,8.37,1
DEN,BOS,2349,12,1,16,72.08,31.68,6.6,37.22,1
ATL,SEA,1652,3,4,2,14.37,24.13,8.94,7.17,0
DEN,BOS,1073,4,4,7,70.75,1.77,1.91,20.15,1
ORD,MIA,1945,6,1,21,30.11,45.2,8.65,27.51,1
DFW,SFO,3201,6,6,12,39.63,58.33,8.19,35.32,1
DFW,MIA,2502,7,2,15,9.21,37.22,5.53,11.9,1
DFW,BOS,1755,5,2,20,40.51,51.39,3.78,8.02,1
ORD,SEA,2817,7,3,9,45.84,31.01,4.65,11.5,1
ORD,IAH,311,2,5,17,74.83,13.9,9.72,6.18,1
DEN,MSP,3232,1,7,2,73.14,0.87,2.82,22.7,1
LAX,MSP,3584,12,3,11,72.48,39.2,6.22,36.64,1
DEN,MSP,3245,10,1,15,26.13,29.59,1.75,-3.7,1
ATL,IAH,660,8,7,17,74.34,46.93,2.96,18.05,1
JFK,MSP,2955,1,1,16,34.16,41.68,7.87,34.88,1
DFW,SEA,1086,12,1,6,63.89,59.28,3.72,-4.99,1
LAX,IAH,3733,2,5,18,16.22,30.62,9.87,14.69,1
JFK,MSP,1315,11,4,22,37.94,25.63,5.51,33.26,1
LAX,IAH,1275,12,5,22,72.45,17.2,5.65,35.02,1
CLT,BOS,719,10,3,7,71.03,28.61,1.33,15.72,1
CLT,DTW,1011,6,4,16,51.28,52.37,9.61,-8.75,1
LAS,DTW,3369,1,4,20,59.84,2.55,2.57,-4.72,1
CLT,SEA,2483,10,3,6,13.23,58.67,5.85,19.34,1
DEN,PHX,2124,3,4,0,54.12,59.6,4.56,-3.81,1
CLT,SFO,3645,7,7,7,46.35,35.87,4.74,-2.53,1
ORD,MSP,1804,12,2,18,6.87,19.89,6.79,28.61,1
DFW,SFO,1126,8,3,19,8.49,13.38,6.96,27.53,1
DEN,IAH,756,4,3,19,8.13,16.59,2.39,32.14,1
JFK,SFO,2896,12,2,9,54.33,3.01,5.5,-4.71,1
LAS,SEA,2481,3,5,11,10.63,28.51,8.11,-0.09,1
LAS,SEA,1255,1,5,23,35.08,3.44,4.99,31.65,1
LAS,MIA,3560,12,5,0,26.77,43.11,2.49,26.05,1
JFK,DTW,3909,9,4,23,41.29,22.32,3.82,30.3,1
JFK,MSP,778,10,2,20,52.99,11.96,2.91,39.49,1
JFK,MIA,741,6,7,3,51.35,32.69,2.13,33.22,1
JFK,SFO,2361,6,3,3,38.66,58.43,4.4,16.02,1
LAS,PHX,2451,9,3,8,34.83,41.71,5.87,5.54,1
LAS,MIA,1252,1,3,14,29.84,29.5,1.65,18.48,1
LAX,MIA,2890,6,4,23,64.64,46.61,6.43,21.93,1
DEN,SEA,673,12,4,14,24.81,44.25,9.94,6.77,1
DFW,PHX,2944,5,6,6,19.45,53.5,9.68,28.55,1
CLT,IAH,2500,11,7,11,55.75,12.28,8.46,-5.36,1
CLT,SFO,1104,6,5,2,26.98,51.53,3.4,28.97,1
ORD,MIA,2145,11,6,19,63.52,18.06,1.2,-8.4,1
LAS,PHX,585,8,6,8,24.59,56.46,8.5,14.9,1
ORD,DTW,261,5,4,13,52.65,16.86,1.5,33.07,1
DEN,MSP,714,2,5,12,3.38,55.61,2.85,-5.68,1
DEN,PHX,629,12,5,23,28.92,57.83,5.9,15.89,1
ORD,DTW,779,12,3,11,25.74,8.73,2.61,-2.03,1
LAS,SFO,1760,2,4,0,61.25,58.47,8.5,34.74,1
ORD,PHX,3962,10,5,18,72.53,5.14,7.99,31.62,1
CLT,DTW,1364,5,6,15,34.57,13.11,7.8,36.7,1
LAX,PHX,2990,3,2,11,61.86,26.65,8.35,33.75,1
CLT,PHX,1523,10,2,9,52.48,59.62,2.98,26.83,1
ATL,MSP,2922,3,4,1,72.55,29.31,7.56,-0.76,1
LAS,DTW,2558,8,3,17,60.83,33.02,4.2,5.13,1
LAS,DTW,670,7,3,12,5.81,41.67,7.0,14.84,1
DFW,MIA,1616,1,5,23,53.5,58.1,2.1,19.44,1
JFK,SFO,1865,12,7,5,40.16,47.0,7.35,29.11,1
ATL,MSP,1668,12,4,11,1.23,13.45,9.75,1.35,1
DEN,PHX,1008,5,7,21,18.85,18.18,1.39,-3.59,1
LAS,PHX,371,9,2,3,69.13,5.86,1.84,14.13,1
ORD,MIA,2823,4,6,0,69.45,38.67,2.11,-2.11,1
ATL,SFO,230,1,5,10,59.91,10.84,4.88,24.69,1
DFW,SEA,246,8,6,22,73.63,15.44,3.62,18.78,1
DEN,MSP,329,5,7,7,60.49,53.29,8.26,27.06,1
JFK,MIA,2599,2,5,1,0.77,19.61,5.26,-6.83,0
JFK,SFO,1177,12,1,1,21.59,34.0,5.36,38.23,1
DFW,MSP,1845,1,6,15,2.3,23.85,7.45,-10.0,1
DFW,PHX,1804,12,4,0,7.06,4.44,4.26,6.27,1
ORD,SFO,257,12,6,3,16.41,21.77,4.18,23.98,1
LAS,SFO,1329,12,6,5,37.77,24.48,7.81,-7.74,1
JFK,IAH,3059,3,5,20,63.56,53.74,8.02,-5.83,1
DEN,SFO,1553,9,2,19,64.65,19.47,1.13,-6.17,1
ATL,SEA,967,1,7,13,46.22,22.75,2.29,19.08,1
DEN,SFO,882,4,1,19,69.61,46.97,2.92,34.8,1
LAX,SEA,3654,8,6,14,37.5,45.54,4.16,17.77,1
LAX,PHX,2208,8,7,6,66.68,47.9,3.62,20.18,1
DFW,SEA,3433,10,7,6,34.05,57.23,7.02,7.3,1
ORD,MSP,3244,12,2,17,20.79,47.73,8.45,-9.06,1
LAX,PHX,2533,11,3,22,68.73,24.46,2.73,-8.92,1
JFK,PHX,3342,11,1,1,29.1,49.29,6.07,34.42,1
DEN,SEA,1990,8,1,19,37.76,30.52,4.31,-4.87,1
DEN,DTW,1677,10,7,14,24.66,16.66,5.55,39.99,1
DFW,MIA,1085,8,5,0,49.71,18.18,6.59,-1.78,1
LAS,BOS,3838,4,6,20,74.63,13.43,9.04,23.73,1
LAS,DTW,596,8,3,16,1.91,8.7,2.73,37.45,1
ATL,SFO,1738,9,5,19,67.49,11.07,1.78,8.11,1
DFW,IAH,2273,7,4,12,0.29,3.79,6.64,26.72,0
CLT,BOS,512,12,2,11,27.32,53.31,4.55,7.54,1
ATL,SFO,2373,2,2,23,12.65,55.86,2.47,5.25,1
CLT,DTW,3679,9,5,21,56.8,35.21,2.05,0.09,1
LAS,DTW,1788,11,7,14,3.8,50.43,6.03,31.05,1
DFW,SFO,1421,8,2,23,41.51,11.01,3.7,2.87,1
CLT,PHX,1010,5,6,4,22.12,54.1,9.98,4.16,1
DFW,SFO,2435,12,2,6,10.03,30.38,4.65,39.95,1
DFW,IAH,2945,3,6,7,57.89,4.03,2.91,6.37,1
LAS,DTW,3057,7,4,22,16.31,8.48,6.66,11.14,1
ATL,SFO,2963,2,3,13,16.78,18.54,3.2,39.5,1
ATL,SEA,2232,3,1,3,20.63,2.61,5.45,8.47,1
DFW,BOS,1707,12,5,20,44.01,18.56,5.34,8.31,1
LAX,SEA,649,9,5,13,49.47,3.6,5.08,31.39,1
ORD,IAH,2770,4,6,9,1.32,14.16,8.16,5.6,0
LAS,SFO,2094,4,4,21,18.14,15.94,2.95,1.69,1
ORD,MSP,1577,3,4,15,32.32,59.66,9.14,11.16,1
ORD,IAH,3233,5,7,10,24.9,14.13,8.12,25.03,1
ATL,PHX,2905,3,1,21,66.31,14.35,4.0,-7.84,1
ATL,SEA,796,9,3,13,59.08,41.21,2.63,8.7,1
LAX,SEA,2347,3,5,13,46.94,51.56,3.52,7.31,1
ORD,MIA,815,2,6,1,25.35,23.22,3.99,2.24,1
ORD,SFO,1147,12,4,21,52.55,52.54,6.01,22.71,1
DFW,PHX,1781,5,5,12,63.27,20.41,1.42,4.5,1
ATL,MSP,755,6,6,2,44.61,11.82,9.23,20.34,1
ORD,SEA,477,1,2,17,58.83,19.78,1.89,15.22,1
DEN,SEA,3964,12,5,21,56.18,36.56,3.51,0.86,1
LAX,PHX,3970,11,3,3,42.88,22.03,1.98,3.33,1
CLT,IAH,2213,6,6,20,23.41,40.37,3.31,-1.47,1
DEN,IAH,3897,10,3,20,55.93,14.22,8.54,-7.17,1
DEN,SFO,690,3,5,18,15.51,42.06,6.54,20.96,1
CLT,DTW,454,4,2,15,58.46,20.85,3.05,23.64,1
LAS,MIA,2628,6,3,3,60.34,27.35,8.85,-1.7,1
LAS,SEA,1091,8,4,18,61.66,33.46,8.21,20.77,1
LAX,DTW,741,9,6,22,35.47,41.17,7.78,39.1,1
DEN,DTW,1487,6,5,14,14.44,14.32,8.63,-6.28,0
ORD,MIA,1833,7,2,0,7.48,50.16,6.58,14.52,1
ATL,DTW,1024,5,4,15,55.75,43.31,5.51,26.65,1
LAX,DTW,3126,12,5,14,66.47,14.05,4.37,-7.7,1
DFW,IAH,1552,9,7,15,48.81,58.5,3.01,28.91,1
CLT,IAH,3386,4,2,21,10.81,39.89,6.02,38.98,1
DEN,BOS,3547,10,4,19,70.12,27.15,9.01,-5.58,1
LAX,MSP,3759,11,3,0,74.18,9.45,6.35,31.11,1
JFK,SFO,480,6,5,16,32.5,31.99,9.28,8.93,1
JFK,DTW,1498,5,5,4,44.61,9.89,4.21,-2.79,1
LAS,BOS,972,1,3,4,58.29,25.77,7.26,14.66,1
CLT,MSP,3090,5,7,6,55.23,24.52,6.84,-6.42,1
ATL,BOS,2966,5,1,12,72.58,43.2,7.03,16.11,1
ORD,BOS,527,9,4,11,8.62,11.54,6.81,-9.03,0
ATL,SFO,2458,1,3,3,43.55,49.31,2.99,26.43,1
ATL,SFO,2974,5,5,3,51.89,19.57,2.29,14.4,1
ATL,PHX,1122,7,4,22,66.76,26.64,9.81,12.95,1
CLT,MIA,751,11,7,20,65.56,46.34,1.41,-0.19,1
ATL,MIA,2273,6,4,20,73.35,37.52,5.21,8.06,1
DFW,PHX,2274,6,1,5,38.41,18.48,4.83,-0.91,1
CLT,PHX,901,12,5,23,62.31,23.17,4.24,26.77,1
DFW,IAH,3354,7,2,14,32.05,18.35,8.04,-0.05,1
CLT,MSP,2119,6,1,20,31.67,35.69,7.71,20.84,1
LAS,BOS,2929,5,1,18,19.0,19.96,9.15,3.98,1
LAX,DTW,2660,10,2,5,61.37,43.54,4.56,22.85,1
JFK,PHX,366,5,2,11,73.94,34.79,6.08,17.02,1
ATL,SEA,3971,9,7,13,19.23,8.74,9.03,11.17,1
LAS,MIA,368,8,7,17,4.21,18.62,9.94,23.65,1
LAX,PHX,428,12,1,11,61.17,13.29,9.72,10.79,1
JFK,SEA,2202,10,4,23,46.52,23.42,7.46,31.07,1
DEN,SEA,3880,4,3,23,71.98,30.96,2.29,26.48,1
ORD,SEA,566,4,3,14,18.92,30.41,1.21,17.03,1
DFW,IAH,727,10,1,18,5.33,45.27,8.43,33.85,1
DEN,IAH,990,5,4,7,36.93,11.35,8.57,31.44,1
CLT,DTW,3918,3,2,8,6.41,56.79,7.72,16.59,1
JFK,DTW,3809,8,6,4,19.63,20.57,3.52,-6.58,1
DEN,SEA,723,7,1,4,9.45,18.01,6.76,18.3,0
ORD,MSP,1295,5,5,5,16.81,41.11,3.85,7.76,1
LAS,IAH,1868,10,4,22,7.96,48.33,5.06,17.01,1
JFK,BOS,2353,3,5,2,71.54,22.71,4.44,22.36,1
DEN,SEA,2979,5,5,4,20.89,44.81,9.22,22.24,1
DFW,BOS,2108,3,1,0,33.29,53.02,3.11,23.68,1
DFW,BOS,3212,10,4,10,67.4,46.01,6.2,23.96,1
LAX,SEA,3960,5,5,20,50.8,2.05,4.25,-4.54,1
DEN,MIA,1505,1,7,19,46.35,49.64,6.97,-0.41,1
ATL,MSP,332,6,7,0,52.92,46.47,6.08,21.53,1
DEN,SEA,2781,10,4,6,62.16,40.16,9.32,10.41,1
LAS,DTW,3222,4,3,14,65.83,45.6,1.91,28.14,1
JFK,SEA,2516,4,6,16,48.2,58.77,2.99,-3.75,1
JFK,IAH,3683,8,5,7,66.75,25.87,7.9,-0.42,1
LAS,SEA,2920,2,5,1,40.15,4.03,4.32,17.92,1
DEN,MIA,1842,4,4,12,20.8,27.65,2.49,15.04,1
LAS,IAH,3038,2,7,11,66.01,2.79,5.53,3.32,1
ORD,DTW,2088,1,6,4,40.61,17.66,6.87,10.42,1
CLT,SFO,1970,10,3,12,67.96,35.21,1.4,-8.25,1
LAS,SFO,217,3,5,5,3.01,18.58,3.62,-8.15,1
DFW,BOS,1977,12,1,14,29.81,41.12,8.28,-5.25,1
LAS,MSP,316,8,7,22,71.09,49.32,5.68,18.84,1
JFK,BOS,997,6,4,21,18.72,25.23,1.32,33.19,1
DFW,MIA,3415,12,4,20,70.62,54.01,3.54,3.01,1
JFK,PHX,3988,7,7,21,71.54,4.79,6.75,-8.3,1
LAX,DTW,2798,2,5,10,66.16,50.41,2.79,25.43,1
ATL,MSP,3176,6,3,3,42.28,49.71,8.45,32.77,1
JFK,DTW,3937,8,5,0,48.52,19.32,7.09,-3.09,1
DFW,SFO,1911,8,7,14,65.22,17.92,5.24,9.29,1
LAX,BOS,952,4,2,11,58.19,18.31,9.24,-2.06,1
JFK,DTW,2669,6,5,8,47.26,48.68,4.53,-4.68,1
ORD,SFO,1592,5,6,10,73.67,49.9,3.12,22.41,1
LAS,MIA,2893,9,7,4,51.43,19.78,6.95,38.38,1
ATL,MIA,2805,8,6,23,73.16,35.56,6.16,23.91,1
JFK,PHX,2297,2,7,6,4.3,8.34,4.02,39.24,1
LAX,DTW,877,12,2,7,10.42,28.13,4.09,11.72,1
ORD,PHX,305,7,6,0,33.86,59.93,4.58,34.89,1
DEN,IAH,3487,7,6,0,28.87,9.53,3.62,0.25,1
LAX,MSP,857,11,1,2,58.71,56.85,7.39,-4.1,1
LAS,DTW,2146,12,4,7,12.05,49.46,6.86,25.13,1
LAX,MIA,1648,1,6,10,73.21,58.33,4.97,8.57,1
ORD,BOS,1295,1,4,0,23.63,10.77,4.58,5.88,1
LAX,SFO,1187,12,7,13,32.17,12.81,4.29,23.56,1
