State,City,Vehicle_Type,Weather,Road_Type,Time,Year,Total_Accidents,Fatal_Accidents,Accident_Severity
West Bengal,Lucknow,Bus,Dusty,Urban,Evening,2022,42953,1571,1
Bihar,Ahmedabad,Bus,Clear,Urban,Afternoon,2020,37044,8083,3
Bihar,Patna,Truck,Dusty,Rural,Night,2020,18190,429,1
Rajasthan,Patna,Auto,Clear,Rural,Evening,2021,2561,9076,3
Karnataka,New Delhi,Car,Foggy,Highway,Night,2022,42831,8587,3
Kerala,Patna,Truck,Foggy,Highway,Afternoon,2018,41826,445,1
Kerala,Ahmedabad,Bike,Rainy,Highway,Afternoon,2022,45783,2301,2
Bihar,Jaipur,Bike,Dusty,Rural,Morning,2018,10343,7413,3
Uttar Pradesh,Lucknow,Bus,Dusty,Urban,Morning,2022,44904,1605,1
Rajasthan,New Delhi,Car,Clear,Urban,Morning,2019,46558,3974,2
Bihar,Patna,Bus,Foggy,Rural,Evening,2020,12581,3547,3
Delhi,Jaipur,Bike,Rainy,Urban,Night,2018,1235,8859,3
West Bengal,Lucknow,Bike,Foggy,Urban,Evening,2018,12304,4056,3
Karnataka,Bangalore,Auto,Dusty,Rural,Morning,2022,12740,8321,3
Gujarat,Jaipur,Auto,Rainy,Urban,Morning,2020,16860,6741,3
Delhi,Bangalore,Auto,Foggy,Rural,Afternoon,2021,36744,3758,2
Uttar Pradesh,Bangalore,Bus,Foggy,Highway,Evening,2018,15393,2641,3
Tamil Nadu,Jaipur,Van,Clear,Urban,Afternoon,2020,3631,6983,3
Tamil Nadu,Patna,Car,Clear,Rural,Afternoon,2020,42119,3309,2
Delhi,Bangalore,Auto,Dusty,Urban,Night,2018,3623,793,3
Bihar,Patna,Truck,Foggy,Urban,Morning,2019,26935,3973,2
Gujarat,Patna,Auto,Clear,Highway,Afternoon,2019,7299,5410,3
Maharashtra,Lucknow,Bus,Foggy,Rural,Afternoon,2022,22664,4866,3
Maharashtra,Kolkata,Car,Rainy,Highway,Morning,2022,15007,1603,2
Uttar Pradesh,Ahmedabad,Auto,Foggy,Urban,Morning,2020,35633,277,1
Bihar,Patna,Car,Foggy,Urban,Night,2018,20616,1093,2
Kerala,Lucknow,Truck,Dusty,Urban,Night,2019,33756,4998,2
Kerala,Kochi,Bike,Rainy,Rural,Afternoon,2020,29822,3146,2
Karnataka,Bangalore,Car,Rainy,Highway,Afternoon,2019,47128,5957,2
Gujarat,New Delhi,Van,Clear,Rural,Afternoon,2018,27807,5445,3
Gujarat,Patna,Auto,Rainy,Urban,Evening,2019,32521,6150,3
Tamil Nadu,Jaipur,Bus,Dusty,Highway,Night,2021,46791,8826,3
Rajasthan,Bangalore,Van,Clear,Urban,Afternoon,2022,42165,8288,3
Uttar Pradesh,Bangalore,Van,Foggy,Highway,Morning,2019,16286,3129,3
Maharashtra,Kochi,Bus,Rainy,Rural,Night,2018,24584,834,1
Uttar Pradesh,New Delhi,Bus,Foggy,Rural,Night,2018,8596,5568,3
Kerala,Lucknow,Bus,Clear,Rural,Afternoon,2021,24804,7542,3
Kerala,Kochi,Van,Rainy,Rural,Evening,2018,7959,1049,2
Delhi,Ahmedabad,Car,Clear,Rural,Afternoon,2021,22145,8839,3
Karnataka,Bangalore,Bus,Clear,Highway,Evening,2020,5272,411,2
Gujarat,Patna,Bike,Rainy,Highway,Evening,2019,45458,9260,3
West Bengal,Patna,Van,Rainy,Urban,Morning,2018,42871,6051,2
Uttar Pradesh,Kochi,Van,Clear,Highway,Afternoon,2022,3193,2374,3
Kerala,Ahmedabad,Van,Dusty,Urban,Evening,2019,25253,1182,1
Rajasthan,Chennai,Truck,Rainy,Rural,Night,2021,46664,5316,2
Tamil Nadu,Mumbai,Car,Clear,Highway,Afternoon,2019,40985,820,1
Maharashtra,Jaipur,Car,Foggy,Highway,Evening,2019,13977,4444,3
Karnataka,Jaipur,Bus,Foggy,Rural,Night,2018,12293,8112,3
Rajasthan,Chennai,Van,Rainy,Rural,Morning,2022,29008,2408,2
Karnataka,Bangalore,Van,Rainy,Rural,Morning,2020,2195,1526,3
Delhi,Lucknow,Bus,Foggy,Urban,Afternoon,2022,49466,4253,2
West Bengal,New Delhi,Car,Clear,Urban,Afternoon,2021,3793,172,1
Kerala,Chennai,Bus,Clear,Highway,Afternoon,2022,18521,4180,3
Tamil Nadu,Ahmedabad,Bus,Clear,Rural,Afternoon,2022,27451,6777,3
Rajasthan,Patna,Bus,Dusty,Highway,Afternoon,2021,21580,4298,3
Karnataka,Mumbai,Bus,Rainy,Rural,Evening,2022,46225,9427,3
Gujarat,Bangalore,Bus,Dusty,Rural,Night,2020,49227,918,1
Delhi,Mumbai,Auto,Dusty,Rural,Afternoon,2019,3985,1017,3
Gujarat,New Delhi,Auto,Dusty,Rural,Night,2020,46712,1630,1
Tamil Nadu,Patna,Van,Dusty,Rural,Evening,2019,11511,4565,3
Rajasthan,Ahmedabad,Van,Clear,Urban,Evening,2019,7846,7075,3
Delhi,Jaipur,Auto,Rainy,Highway,Evening,2022,39389,7452,3
Rajasthan,New Delhi,Car,Rainy,Rural,Afternoon,2019,5418,1149,3
Kerala,Chennai,Truck,Dusty,Urban,Morning,2021,27412,8316,3
Bihar,Jaipur,Car,Rainy,Urban,Morning,2020,49254,1027,1
Delhi,Jaipur,Van,Foggy,Rural,Afternoon,2019,12112,1945,3
Gujarat,Ahmedabad,Auto,Clear,Rural,Afternoon,2022,48710,8256,3
Tamil Nadu,Chennai,Car,Rainy,Urban,Afternoon,2022,31456,4878,3
West Bengal,Kochi,Truck,Clear,Rural,Evening,2022,24290,2027,2
Kerala,New Delhi,Bus,Foggy,Urban,Morning,2018,15280,785,2
Bihar,Lucknow,Bike,Clear,Rural,Morning,2020,17973,6533,3
West Bengal,Kolkata,Auto,Foggy,Urban,Night,2022,16519,6823,3
Maharashtra,Patna,Auto,Dusty,Rural,Night,2021,10853,8178,3
Kerala,Ahmedabad,Truck,Rainy,Urban,Morning,2022,4424,9973,3
Tamil Nadu,Patna,Bus,Dusty,Highway,Morning,2018,39378,238,1
Karnataka,New Delhi,Bus,Rainy,Rural,Evening,2020,35095,5438,3
Delhi,Chennai,Bike,Dusty,Rural,Night,2019,43079,8789,3
Rajasthan,Lucknow,Bus,Foggy,Urban,Afternoon,2020,23903,1148,1
Tamil Nadu,Kolkata,Truck,Rainy,Rural,Evening,2019,5536,8697,3
Delhi,Mumbai,Van,Dusty,Highway,Night,2019,14423,5471,3
West Bengal,Lucknow,Bus,Clear,Highway,Afternoon,2022,5921,1850,3
Rajasthan,Ahmedabad,Van,Clear,Urban,Afternoon,2021,44392,7149,3
Uttar Pradesh,Patna,Van,Dusty,Urban,Morning,2021,1285,1716,3
Gujarat,Lucknow,Truck,Foggy,Rural,Morning,2022,40121,9392,3
Maharashtra,Bangalore,Auto,Dusty,Urban,Afternoon,2018,47549,579,1
Kerala,Chennai,Auto,Clear,Highway,Afternoon,2019,44421,7425,3
Tamil Nadu,Chennai,Auto,Rainy,Highway,Morning,2021,19942,1809,2
Maharashtra,Bangalore,Car,Rainy,Rural,Morning,2020,48563,7416,3
Karnataka,Jaipur,Auto,Dusty,Highway,Morning,2018,20546,5362,3
Delhi,Jaipur,Truck,Rainy,Urban,Morning,2022,28790,5556,3
Delhi,New Delhi,Bike,Clear,Rural,Night,2018,39995,552,1
Tamil Nadu,Kochi,Bus,Rainy,Rural,Morning,2021,38118,4588,2
Bihar,Mumbai,Auto,Dusty,Rural,Evening,2022,22654,1469,2
Bihar,Bangalore,Car,Dusty,Urban,Evening,2021,41121,6408,3
Uttar Pradesh,New Delhi,Van,Dusty,Rural,Evening,2019,31203,7663,3
Gujarat,Patna,Car,Clear,Rural,Morning,2018,8708,630,2
Rajasthan,Bangalore,Truck,Foggy,Highway,Afternoon,2019,39441,7038,3
Karnataka,Kochi,Bike,Rainy,Highway,Afternoon,2020,24990,1651,2
Maharashtra,Bangalore,Auto,Dusty,Rural,Night,2019,45947,6757,2
Bihar,Kochi,Auto,Foggy,Urban,Morning,2018,17947,504,1
Uttar Pradesh,Kochi,Car,Dusty,Urban,Evening,2020,14664,8813,3
Uttar Pradesh,Kochi,Truck,Dusty,Urban,Afternoon,2021,2191,717,3
Tamil Nadu,Chennai,Car,Clear,Urban,Morning,2020,41743,2164,2
Karnataka,Lucknow,Car,Clear,Highway,Evening,2018,23086,3861,3
West Bengal,Chennai,Bike,Foggy,Urban,Evening,2022,36273,9826,3
Rajasthan,New Delhi,Truck,Dusty,Urban,Evening,2020,33091,9325,3
Gujarat,Chennai,Bike,Rainy,Rural,Evening,2021,21987,4979,3
Kerala,Chennai,Truck,Rainy,Urban,Evening,2020,31145,1892,2
Tamil Nadu,Patna,Auto,Rainy,Urban,Night,2019,35017,6256,3
Rajasthan,Bangalore,Bus,Foggy,Urban,Evening,2022,48951,2336,1
Kerala,Chennai,Van,Clear,Urban,Night,2018,15883,7699,3
Kerala,Kolkata,Bus,Foggy,Highway,Evening,2022,18261,6387,3
Karnataka,Kochi,Truck,Clear,Rural,Evening,2019,26908,7692,3
Karnataka,Bangalore,Bus,Rainy,Highway,Evening,2022,44585,1840,1
Maharashtra,Jaipur,Car,Rainy,Rural,Evening,2019,45313,8619,3
Uttar Pradesh,Patna,Auto,Clear,Rural,Night,2020,41119,794,1
Rajasthan,Lucknow,Van,Rainy,Rural,Morning,2018,28452,3028,2
Tamil Nadu,Patna,Van,Foggy,Rural,Afternoon,2019,38084,5186,2
Delhi,Kochi,Van,Clear,Highway,Night,2019,17952,8622,3
Tamil Nadu,Bangalore,Auto,Rainy,Rural,Night,2020,24891,9066,3
Maharashtra,Lucknow,Bus,Dusty,Urban,Night,2019,35677,7193,3
Gujarat,Mumbai,Van,Rainy,Urban,Morning,2018,40173,9572,3
Uttar Pradesh,Ahmedabad,Van,Dusty,Rural,Afternoon,2021,38848,1155,1
Delhi,Patna,Truck,Rainy,Urban,Morning,2022,20986,3125,2
Bihar,Lucknow,Car,Dusty,Urban,Afternoon,2019,45515,9407,3
Gujarat,New Delhi,Truck,Rainy,Rural,Afternoon,2022,43962,4384,2
Karnataka,Lucknow,Bus,Dusty,Rural,Afternoon,2022,5137,5297,3
Kerala,Ahmedabad,Auto,Clear,Rural,Morning,2021,16376,9136,3
Bihar,Kochi,Auto,Clear,Highway,Afternoon,2019,5979,6683,3
Tamil Nadu,Bangalore,Truck,Dusty,Rural,Evening,2018,21960,217,1
Tamil Nadu,Mumbai,Bike,Rainy,Rural,Night,2019,17252,7807,3
Karnataka,New Delhi,Truck,Foggy,Highway,Afternoon,2022,14011,7817,3
Maharashtra,Lucknow,Bike,Foggy,Urban,Night,2020,38042,9529,3
Rajasthan,Kolkata,Truck,Foggy,Highway,Morning,2021,2933,7900,3
Bihar,Chennai,Bike,Foggy,Urban,Morning,2018,21662,8503,3
Bihar,Kochi,Bike,Dusty,Highway,Evening,2018,33663,4356,2
West Bengal,Patna,Van,Clear,Rural,Afternoon,2022,17423,1700,2
Gujarat,Patna,Van,Clear,Highway,Night,2018,35935,8323,3
Uttar Pradesh,Ahmedabad,Bike,Foggy,Rural,Night,2022,18054,6041,3
Gujarat,Kochi,Bike,Clear,Urban,Night,2018,1807,6049,3
Rajasthan,New Delhi,Car,Dusty,Rural,Morning,2018,15958,4816,3
Tamil Nadu,Jaipur,Bike,Foggy,Highway,Afternoon,2022,23615,1001,1
Tamil Nadu,Mumbai,Van,Dusty,Highway,Evening,2021,18381,4440,3
Tamil Nadu,New Delhi,Bike,Dusty,Urban,Evening,2018,3257,6105,3
West Bengal,Mumbai,Auto,Rainy,Rural,Morning,2019,21555,4939,3
Tamil Nadu,Bangalore,Car,Dusty,Urban,Afternoon,2020,27982,7418,3
Rajasthan,Bangalore,Bike,Rainy,Rural,Evening,2022,42344,3444,2
Karnataka,Kochi,Van,Foggy,Rural,Evening,2018,38268,4222,2
Uttar Pradesh,Kochi,Van,Dusty,Urban,Morning,2021,9194,8942,3
Rajasthan,Patna,Bus,Clear,Urban,Night,2019,44444,9906,3
Uttar Pradesh,Chennai,Van,Foggy,Rural,Evening,2022,12837,5443,3
Rajasthan,Ahmedabad,Car,Dusty,Urban,Morning,2019,8916,4910,3
Tamil Nadu,Chennai,Van,Dusty,Rural,Evening,2020,10921,2253,3
Karnataka,New Delhi,Auto,Clear,Urban,Evening,2021,30074,8768,3
Bihar,Patna,Truck,Rainy,Urban,Morning,2022,12123,3115,3
Gujarat,Mumbai,Auto,Dusty,Urban,Morning,2022,36243,7944,3
Kerala,Jaipur,Auto,Dusty,Highway,Afternoon,2018,13022,7469,3
Karnataka,Lucknow,Car,Clear,Urban,Evening,2019,15657,3181,3
Bihar,Kolkata,Car,Foggy,Highway,Night,2022,7993,7524,3
Maharashtra,Bangalore,Bus,Dusty,Rural,Night,2019,26566,6389,3
Rajasthan,Chennai,Van,Rainy,Rural,Afternoon,2020,24498,8275,3
Maharashtra,Ahmedabad,Bus,Rainy,Urban,Afternoon,2018,21726,3529,3
Bihar,Jaipur,Car,Clear,Highway,Morning,2020,44053,4930,2
Karnataka,Jaipur,Van,Rainy,Rural,Night,2018,1656,7370,3
Rajasthan,Bangalore,Car,Dusty,Highway,Evening,2018,8292,4919,3
Kerala,Kolkata,Car,Rainy,Highway,Morning,2019,44901,4243,2
Tamil Nadu,Kochi,Truck,Dusty,Rural,Evening,2018,12841,6020,3
Rajasthan,Jaipur,Auto,Clear,Highway,Night,2020,14717,1308,2
Rajasthan,New Delhi,Bus,Rainy,Highway,Morning,2020,19492,1347,2
Karnataka,New Delhi,Bus,Dusty,Rural,Evening,2020,38142,8079,3
Karnataka,Kochi,Bike,Foggy,Urban,Afternoon,2019,40373,1500,1
Bihar,Mumbai,Truck,Dusty,Urban,Evening,2019,17021,3130,3
Delhi,Patna,Car,Dusty,Highway,Evening,2021,1032,4306,3
Rajasthan,Kochi,Car,Clear,Urban,Morning,2022,13684,8613,3
Gujarat,Kolkata,Truck,Dusty,Rural,Night,2021,47857,4958,2
Rajasthan,New Delhi,Van,Clear,Rural,Evening,2021,3873,7253,3
Bihar,Jaipur,Bus,Dusty,Rural,Evening,2018,40146,7975,3
Uttar Pradesh,New Delhi,Car,Dusty,Highway,Evening,2018,25790,3324,2
Maharashtra,Lucknow,Bike,Dusty,Rural,Evening,2021,12382,6220,3
Tamil Nadu,Patna,Bus,Clear,Highway,Afternoon,2022,3645,9671,3
Delhi,Ahmedabad,Auto,Dusty,Highway,Night,2021,7175,7180,3
Kerala,Lucknow,Truck,Clear,Rural,Night,2019,44504,8634,3
Kerala,Mumbai,Bus,Foggy,Rural,Morning,2020,39297,4827,2
Kerala,Bangalore,Auto,Clear,Highway,Evening,2021,31149,9732,3
Karnataka,Lucknow,Bike,Foggy,Rural,Morning,2018,10796,8156,3
Kerala,Mumbai,Van,Clear,Urban,Afternoon,2022,21048,6527,3
Tamil Nadu,Mumbai,Truck,Clear,Highway,Afternoon,2018,18059,9028,3
Maharashtra,Ahmedabad,Van,Dusty,Highway,Evening,2019,45743,1280,1
Kerala,Bangalore,Car,Rainy,Rural,Morning,2018,26762,979,1
Rajasthan,Chennai,Van,Rainy,Rural,Morning,2018,44578,6939,3
Rajasthan,Kochi,Car,Dusty,Highway,Night,2022,48537,1522,1
Karnataka,Jaipur,Auto,Foggy,Highway,Morning,2022,4071,2952,3
Tamil Nadu,Kolkata,Bus,Dusty,Highway,Afternoon,2018,15078,3062,3
Maharashtra,Kolkata,Bike,Rainy,Rural,Afternoon,2018,49831,7630,3
Delhi,Kolkata,Auto,Clear,Highway,Evening,2021,24550,8734,3
Bihar,Chennai,Bike,Dusty,Urban,Morning,2019,35040,3606,2
Maharashtra,Kochi,Van,Foggy,Urban,Morning,2021,33275,7899,3
Bihar,Kolkata,Bike,Dusty,Rural,Afternoon,2022,23129,7608,3
Uttar Pradesh,Kochi,Van,Rainy,Highway,Evening,2021,45715,8539,3
Bihar,Jaipur,Bike,Clear,Highway,Night,2021,11209,3078,3
Gujarat,Kolkata,Truck,Rainy,Urban,Night,2018,20984,1597,2
Rajasthan,Bangalore,Auto,Rainy,Highway,Evening,2018,3387,4287,3
Tamil Nadu,Mumbai,Truck,Rainy,Rural,Evening,2019,24430,9863,3
West Bengal,Kolkata,Bus,Rainy,Rural,Night,2020,45936,5043,2
Karnataka,Kochi,Bus,Clear,Rural,Afternoon,2020,30117,1647,2
Gujarat,Mumbai,Car,Rainy,Highway,Morning,2021,23633,2090,2
Bihar,Ahmedabad,Car,Foggy,Highway,Night,2019,46463,3246,2
Kerala,Kolkata,Car,Foggy,Urban,Evening,2019,8396,1846,3
Tamil Nadu,Kolkata,Bus,Rainy,Urban,Evening,2022,17856,2860,3
Gujarat,Lucknow,Bike,Foggy,Rural,Morning,2018,22839,7061,3
Karnataka,Mumbai,Van,Rainy,Highway,Evening,2022,15790,4736,3
Rajasthan,Kolkata,Bike,Clear,Highway,Afternoon,2020,23677,9117,3
Tamil Nadu,Bangalore,Auto,Clear,Rural,Evening,2019,29475,122,1
Karnataka,Jaipur,Bus,Foggy,Rural,Morning,2020,11512,5748,3
Uttar Pradesh,Mumbai,Van,Foggy,Urban,Night,2018,11727,8350,3
Uttar Pradesh,Jaipur,Van,Rainy,Urban,Afternoon,2018,24351,1779,2
Karnataka,Patna,Van,Dusty,Rural,Evening,2018,45827,7882,3
Gujarat,Kochi,Car,Rainy,Highway,Morning,2020,12910,1729,2
Tamil Nadu,Ahmedabad,Van,Rainy,Urban,Night,2019,35594,1625,1
Gujarat,Lucknow,Van,Clear,Rural,Night,2022,7504,6685,3
Delhi,Bangalore,Bus,Dusty,Highway,Morning,2019,6152,3257,3
Bihar,Ahmedabad,Bike,Dusty,Rural,Night,2019,27914,5917,3
Delhi,Lucknow,Bike,Rainy,Highway,Night,2021,13507,720,2
Uttar Pradesh,Ahmedabad,Truck,Clear,Urban,Night,2019,21886,3685,3
Rajasthan,Ahmedabad,Truck,Foggy,Highway,Night,2022,39017,4751,2
Maharashtra,New Delhi,Auto,Clear,Highway,Morning,2021,47292,815,1
Bihar,Kochi,Bus,Foggy,Rural,Morning,2019,49013,8397,3
Uttar Pradesh,Chennai,Truck,Clear,Highway,Evening,2021,18757,7888,3
Gujarat,Lucknow,Truck,Dusty,Urban,Evening,2019,35616,6799,3
Gujarat,Bangalore,Bus,Clear,Rural,Afternoon,2018,22843,828,1
Gujarat,Mumbai,Bike,Rainy,Rural,Night,2018,36733,2643,2
Rajasthan,Ahmedabad,Auto,Foggy,Rural,Night,2019,5198,3252,3
Delhi,Ahmedabad,Auto,Clear,Rural,Afternoon,2021,7236,796,2
Maharashtra,Lucknow,Auto,Clear,Rural,Morning,2022,8456,4329,3
Gujarat,Patna,Truck,Foggy,Rural,Morning,2018,33268,8698,3
West Bengal,Chennai,Bike,Clear,Rural,Afternoon,2021,24195,7265,3
Bihar,Ahmedabad,Auto,Foggy,Urban,Evening,2022,1694,9871,3
Tamil Nadu,Kolkata,Bus,Dusty,Urban,Evening,2021,28116,5285,3
West Bengal,New Delhi,Auto,Foggy,Rural,Night,2019,14969,2448,3
Maharashtra,Jaipur,Car,Foggy,Highway,Evening,2018,20435,3414,3
Rajasthan,New Delhi,Bike,Dusty,Rural,Morning,2018,11363,615,2
Maharashtra,Chennai,Car,Clear,Rural,Afternoon,2018,1261,2244,3
Tamil Nadu,Kolkata,Bike,Clear,Rural,Afternoon,2019,45822,3525,2
Bihar,New Delhi,Van,Dusty,Highway,Afternoon,2022,15301,7363,3
Tamil Nadu,Jaipur,Bus,Rainy,Urban,Evening,2022,40885,9244,3
Karnataka,Mumbai,Van,Foggy,Highway,Afternoon,2018,8787,1845,3
Bihar,Kochi,Truck,Clear,Highway,Afternoon,2022,12708,2284,3
Maharashtra,Mumbai,Truck,Clear,Highway,Evening,2018,47879,3528,2
Gujarat,Kochi,Van,Foggy,Highway,Morning,2022,32023,1171,1
Maharashtra,Patna,Bike,Foggy,Rural,Night,2018,10265,1287,2
Maharashtra,Patna,Auto,Foggy,Urban,Morning,2022,29483,599,1
Bihar,Patna,Car,Rainy,Highway,Evening,2021,22350,2649,2
Karnataka,New Delhi,Bus,Dusty,Urban,Afternoon,2018,25342,9788,3
Maharashtra,Patna,Auto,Rainy,Rural,Night,2018,47877,6181,2
West Bengal,Kochi,Truck,Rainy,Rural,Morning,2020,34389,7247,3
Uttar Pradesh,Mumbai,Auto,Foggy,Urban,Night,2018,19488,5845,3
Kerala,Lucknow,Van,Dusty,Rural,Morning,2022,40077,920,1
Kerala,Ahmedabad,Van,Clear,Urban,Morning,2021,15729,9291,3
Maharashtra,Kochi,Car,Foggy,Highway,Evening,2021,14126,8865,3
West Bengal,Mumbai,Truck,Dusty,Rural,Morning,2022,3705,5345,3
Gujarat,Mumbai,Bike,Clear,Rural,Afternoon,2019,9809,1798,3
Rajasthan,Ahmedabad,Bus,Rainy,Urban,Evening,2018,28327,3142,2
Rajasthan,Kolkata,Van,Dusty,Rural,Night,2021,10995,3356,3
Bihar,Lucknow,Bus,Rainy,Highway,Evening,2022,44261,8096,3
Kerala,Kolkata,Truck,Rainy,Rural,Morning,2021,41171,2287,2
Maharashtra,Kolkata,Bike,Dusty,Rural,Night,2021,12608,1878,2
Rajasthan,Mumbai,Van,Clear,Rural,Afternoon,2022,10344,148,1
Maharashtra,Jaipur,Car,Dusty,Urban,Evening,2020,29729,1594,2
Bihar,Bangalore,Bus,Clear,Highway,Morning,2021,13468,9465,3
Kerala,Kochi,Truck,Foggy,Highway,Night,2021,38528,6567,3
Tamil Nadu,New Delhi,Bus,Foggy,Rural,Afternoon,2019,43897,9642,3
Uttar Pradesh,Kolkata,Bike,Foggy,Rural,Afternoon,2020,44233,1018,1
Uttar Pradesh,Patna,Car,Rainy,Urban,Evening,2019,49556,450,1
Rajasthan,New Delhi,Bike,Foggy,Highway,Night,2022,15735,2026,2
Uttar Pradesh,Chennai,Van,Rainy,Rural,Morning,2018,45505,2017,1
Tamil Nadu,Jaipur,Auto,Clear,Highway,Night,2022,49317,5366,2
Maharashtra,New Delhi,Bike,Dusty,Rural,Afternoon,2020,18979,9601,3
Bihar,Ahmedabad,Bike,Dusty,Rural,Night,2022,44118,6110,2
Tamil Nadu,Bangalore,Bus,Rainy,Urban,Evening,2020,3342,4059,3
Bihar,Lucknow,Bike,Rainy,Highway,Night,2019,28409,5369,3
Bihar,Ahmedabad,Truck,Rainy,Highway,Night,2021,7213,5792,3
Kerala,Kolkata,Van,Clear,Rural,Evening,2022,18610,7340,3
Maharashtra,Jaipur,Bus,Clear,Rural,Night,2022,17396,5277,3
West Bengal,Jaipur,Bus,Foggy,Urban,Evening,2021,34063,8003,3
Uttar Pradesh,Kolkata,Auto,Foggy,Rural,Evening,2022,48400,4866,2
West Bengal,Bangalore,Van,Dusty,Highway,Evening,2022,5459,7555,3
Kerala,Mumbai,Truck,Foggy,Urban,Afternoon,2018,10318,4204,3
Bihar,New Delhi,Van,Clear,Highway,Night,2018,31165,1601,2
Rajasthan,Patna,Bike,Clear,Urban,Evening,2021,20165,5768,3
Uttar Pradesh,Kolkata,Auto,Clear,Highway,Morning,2019,13111,2923,3
Uttar Pradesh,Patna,Truck,Clear,Rural,Morning,2022,8409,167,1
Maharashtra,New Delhi,Auto,Dusty,Highway,Afternoon,2022,39152,9623,3
Karnataka,Bangalore,Van,Dusty,Highway,Evening,2019,42524,6776,3
Delhi,Mumbai,Car,Clear,Urban,Evening,2022,41821,8044,3
Delhi,Lucknow,Van,Rainy,Highway,Afternoon,2019,11111,863,2
Delhi,Bangalore,Bike,Foggy,Rural,Night,2021,19882,5672,3
Karnataka,Patna,Auto,Dusty,Urban,Evening,2021,30611,8769,3
Maharashtra,Jaipur,Car,Rainy,Urban,Evening,2019,31928,4713,2
Karnataka,Jaipur,Bike,Foggy,Highway,Morning,2019,12425,5139,3
Delhi,Chennai,Auto,Rainy,Urban,Evening,2020,1836,1123,3
Kerala,Kochi,Auto,Clear,Rural,Afternoon,2018,42761,5938,2
Tamil Nadu,Ahmedabad,Van,Foggy,Highway,Morning,2018,2460,5676,3
Bihar,Ahmedabad,Auto,Rainy,Rural,Afternoon,2022,36373,4838,2
Karnataka,Kolkata,Auto,Dusty,Highway,Afternoon,2022,45669,6914,3
Maharashtra,Patna,Bus,Dusty,Highway,Evening,2019,501,2526,3
Maharashtra,Ahmedabad,Auto,Dusty,Urban,Night,2019,48362,6858,2
West Bengal,Ahmedabad,Van,Foggy,Urban,Evening,2018,32279,4842,3
Tamil Nadu,Bangalore,Bus,Clear,Urban,Night,2022,49371,1631,1
Rajasthan,Lucknow,Bus,Clear,Highway,Morning,2018,28155,4799,3
Uttar Pradesh,Patna,Car,Foggy,Urban,Afternoon,2021,46740,1501,1
Delhi,Chennai,Bike,Foggy,Rural,Afternoon,2018,36116,5958,3
Rajasthan,Lucknow,Bus,Clear,Urban,Evening,2018,40887,754,1
West Bengal,Chennai,Truck,Dusty,Rural,Night,2019,36869,9066,3
Delhi,Patna,Bus,Clear,Urban,Afternoon,2022,30771,6722,3
Tamil Nadu,Mumbai,Truck,Clear,Highway,Afternoon,2021,46128,6153,2
West Bengal,Mumbai,Car,Rainy,Urban,Night,2018,45638,5611,2
Delhi,Ahmedabad,Truck,Dusty,Rural,Afternoon,2018,9725,3923,3
Tamil Nadu,Kolkata,Car,Foggy,Rural,Afternoon,2019,25509,7731,3
Gujarat,Jaipur,Car,Clear,Urban,Afternoon,2020,33885,8901,3
Rajasthan,Bangalore,Car,Dusty,Rural,Night,2022,48860,484,1
Rajasthan,Ahmedabad,Truck,Foggy,Highway,Night,2022,36890,9009,3
Uttar Pradesh,Kochi,Truck,Rainy,Urban,Morning,2022,44377,3258,2
Tamil Nadu,Mumbai,Car,Rainy,Rural,Afternoon,2018,42257,291,1
Karnataka,Ahmedabad,Car,Dusty,Urban,Afternoon,2018,32888,8261,3
Gujarat,Jaipur,Bike,Clear,Urban,Morning,2018,3426,6885,3
Kerala,Chennai,Car,Foggy,Urban,Night,2020,30477,2843,2
Delhi,Chennai,Auto,Dusty,Urban,Night,2018,5739,9934,3
Gujarat,New Delhi,Bike,Rainy,Urban,Evening,2022,6162,5044,3
Tamil Nadu,Bangalore,Bike,Foggy,Highway,Night,2022,39130,8450,3
Bihar,Kolkata,Bike,Foggy,Urban,Evening,2019,11932,3485,3
Delhi,Chennai,Auto,Clear,Highway,Morning,2020,17535,7258,3
Maharashtra,New Delhi,Bike,Rainy,Urban,Night,2021,9988,2109,3
Rajasthan,Mumbai,Bike,Rainy,Rural,Morning,2018,31877,4828,3
Tamil Nadu,Chennai,Truck,Rainy,Urban,Evening,2021,11445,2822,3
Maharashtra,Kolkata,Van,Foggy,Urban,Afternoon,2018,45924,5223,2
Uttar Pradesh,Ahmedabad,Truck,Rainy,Rural,Afternoon,2020,971,7039,3
West Bengal,Jaipur,Car,Dusty,Highway,Morning,2020,38119,7497,3
Kerala,Kochi,Car,Rainy,Highway,Afternoon,2022,38242,4098,2
Kerala,Chennai,Bus,Foggy,Highway,Morning,2020,30100,9521,3
Maharashtra,Kochi,Van,Rainy,Highway,Evening,2021,42443,3949,2
Rajasthan,Kochi,Auto,Rainy,Rural,Afternoon,2021,49086,1548,1
Uttar Pradesh,Kochi,Truck,Foggy,Highway,Evening,2020,21627,1104,2
Bihar,Lucknow,Car,Rainy,Highway,Night,2021,19534,7284,3
Rajasthan,Kochi,Auto,Clear,Highway,Afternoon,2018,4109,7968,3
Gujarat,Lucknow,Bike,Foggy,Highway,Afternoon,2019,26687,311,1
Kerala,Jaipur,Auto,Rainy,Highway,Afternoon,2022,11286,6047,3
Gujarat,Kochi,Truck,Clear,Urban,Morning,2019,41260,8469,3
Delhi,New Delhi,Van,Dusty,Urban,Night,2021,33474,6208,3
